index	return	risk	AAPL	SPY	TSLA	SBUX	MSFT	NVDA
0	0.018143558672274757	0.03830925766284541	0.339699839161483	0.3663415414096491	1.785062341388172e-17	0.0629043620989462	0.2310542573299215	6.1073034236796716e-18
1	0.018648484766768402	0.038600458646708025	0.3363028407698682	0.36267812599555266	1.7672117179742906e-17	0.062275318477956754	0.22874371475662233	0.009999999999999985
2	0.019153410861262047	0.03891756048944691	0.3329058423782534	0.3590147105814562	1.7493610945604087e-17	0.06164627485696729	0.22643317218332312	0.020000000000000035
3	0.01965833695575569	0.039259935593667354	0.32950884398663854	0.35535129516735964	1.731510471146527e-17	0.06101723123597783	0.2241226296100239	0.030000000000000016
4	0.02016326305024933	0.039626928884833684	0.3261118455950237	0.35168787975326316	1.7136598477326452e-17	0.06038818761498837	0.22181208703672467	0.039999999999999994
5	0.020668189144742975	0.040017863067935436	0.32271484720340887	0.3480244643391667	1.6958092243187636e-17	0.059759143993998905	0.21950154446342546	0.05000000000000005
6	0.021173115239236616	0.04043204370125263	0.31931784881179404	0.3443610489250702	1.6779586009048817e-17	0.059130100373009434	0.21719100189012622	0.06000000000000002
7	0.02167804133373026	0.04086876402402673	0.31592085042017926	0.3406976335109737	1.660107977491e-17	0.058501056752019984	0.21488045931682706	0.06999999999999999
8	0.022182967428223902	0.041327309487780205	0.31252385202856436	0.33703421809687717	1.6422573540771183e-17	0.05787201313103052	0.21256991674352782	0.08000000000000004
9	0.022687893522717544	0.041806961953741166	0.3091268536369496	0.33337080268278074	1.6244067306632367e-17	0.05724296951004106	0.2102593741702286	0.09000000000000002
10	0.023192819617211185	0.04230700353085718	0.30572985524533475	0.32970738726868426	1.606556107249355e-17	0.0566139258890516	0.2079488315969294	0.10000000000000002
11	0.02369774571170483	0.04282672003987663	0.3023328568537199	0.3260439718545877	1.5887054838354732e-17	0.055984882268062135	0.20563828902363018	0.11000000000000006
12	0.024202671806198468	0.04336540409870044	0.2989358584621051	0.32238055644049124	1.5708548604215916e-17	0.05535583864707267	0.20332774645033097	0.12000000000000004
13	0.024707597900692112	0.04392235783252998	0.29553886007049024	0.31871714102639476	1.5530042370077097e-17	0.05472679502608321	0.20101720387703173	0.13
14	0.02521252399518576	0.04449689521921319	0.2921418616788754	0.3150537256122983	1.535153613593828e-17	0.05409775140509374	0.19870666130373252	0.14000000000000007
15	0.0257174500896794	0.045088344085651155	0.2887448632872606	0.3113903101982018	1.5173029901799462e-17	0.05346870778410428	0.19639611873043328	0.15000000000000005
16	0.02622237618417304	0.04569604777525205	0.2853478648956458	0.30772689478410525	1.4994523667660646e-17	0.052839664163114815	0.19408557615713407	0.16000000000000003
17	0.026727302278666685	0.046319366509331376	0.28195086650403095	0.30406347937000877	1.4816017433521827e-17	0.05221062054212535	0.19177503358383485	0.17000000000000007
18	0.027232228373160323	0.04695767846720094	0.2785538681124161	0.30040006395591234	1.4637511199383015e-17	0.05158157692113591	0.1894644910105357	0.17999999999999997
19	0.02773715445875559	0.04540822803886285	0.2493210068044983	0.5643614639720883	0.0	7.291259609965017e-18	0.0	0.1863175292234135
20	0.028242080553931105	0.04616103334330618	0.255338296466132	0.547514081847875	0.0	7.101524229780054e-18	0.0	0.1971476216859932
21	0.028747006658927963	0.046919158736622626	0.2605466884832483	0.5315453786335974	2.710505431213761e-19	1.191267137018448e-17	0.0	0.20790793288315437
22	0.029251932756529042	0.04768284573500693	0.2650736077404486	0.5163169371875852	0.0	0.0	0.0	0.2186094550719663
23	0.029756858847366334	0.04845271283580891	0.2688507455840419	0.5010362189081289	0.0009797039464016204	1.927169361592984e-17	0.0	0.22913333156142765
24	0.030261784933009177	0.0492305864044772	0.272774866782885	0.48671241542266314	0.0006973042383378126	6.288372600415926e-18	0.0	0.23981541355611408
25	0.030766711035426282	0.04999846614654348	0.2735348790635894	0.47084948317174624	0.006039658477193912	8.561809030846468e-18	5.843849709696869e-17	0.24957597928747044
26	0.031271637129314134	0.050772998975081085	0.2747064786107043	0.4568107356329597	0.00881471429098794	6.46455545344482e-18	3.073713158996405e-17	0.2596680714653481
27	0.031776563224241765	0.05154958831428436	0.2753362839854138	0.4435131430056911	0.011417257031190649	1.8126505071242027e-18	0.0	0.26973331597770434
28	0.03228148931868577	0.05233071690680347	0.2757461104827001	0.43055084300129626	0.013910907281052282	5.89534931288993e-19	0.0	0.2797921392349514
29	0.03278641541213713	0.05311543841026122	0.27579366588306814	0.41797244365216374	0.016415434301085143	8.961608581950498e-18	0.0	0.289818456163683
30	0.033291341506367575	0.05390384590759916	0.2754389244741738	0.4056660192613691	0.019106496516235704	2.768103671627054e-18	1.4528309111305762e-17	0.29978855974822144
31	0.03379626760116752	0.05469538928052918	0.27471009837906374	0.3938348532057661	0.02171967619264471	1.9583401740519424e-18	0.0	0.3097353722225255
32	0.03430119369658128	0.05549032576023801	0.2736736098727064	0.3824518997370121	0.024203987898207945	0.0	3.577867169202164e-18	0.31967050249207346
33	0.03480611978844724	0.056293467784071634	0.274033881648168	0.3723283787902498	0.023549721021523744	0.0	0.0	0.33008801854005854
34	0.035311045888702375	0.0570934792465233	0.27176604089841294	0.36124014658554776	0.027212806595074034	0.0	0.0	0.3397810059209653
35	0.03581597197552872	0.05789878538911949	0.2692788452032775	0.3503105819983353	0.03096587876850191	5.8140341499535175e-18	1.4365678785432934e-17	0.34944469402988537
36	0.036320898074937887	0.05870691709233268	0.2665199299519622	0.34026554899873346	0.03405276522877039	0.0	5.6107462426124854e-18	0.35916175582053383
