	AAPL	SPY	TSLA	SBUX	MSFT	NVDA
AAPL	0.0036267317790971212	0.0008322133316583379	0.0032544973423481753	0.000491816596513144	0.0003890746764516026	0.0009618043597142481
SPY	0.0008322133316583379	0.001292319007902078	0.002420863397804039	0.0014671393421502262	0.0014877618252966637	0.002839562214213834
TSLA	0.0032544973423481753	0.002420863397804039	0.026703445384803893	-2.1045783416413226e-05	0.002216966144707966	-0.0003834183930516646
SBUX	0.000491816596513144	0.0014671393421502262	-2.1045783416413226e-05	0.008773382727926415	0.0005610966701599255	0.0004838405078575133
MSFT	0.0003890746764516026	0.0014877618252966637	0.002216966144707966	0.0005610966701599255	0.004044451626252472	0.0049138918781164624
NVDA	0.0009618043597142481	0.002839562214213834	-0.0003834183930516646	0.0004838405078575133	0.0049138918781164624	0.014522584421617767
